cluster,primary_keyword,secondary_keywords,intent,audience,business_value,content_type,recommended_url,serp_features,difficulty,internal_links,conversion_goal,status
Branded,ClearGlass Inc,"ClearGlass,ClearGlass company",Navigational,"Prospects,partners,referrals",Very High,Company page,/,"Brand result,sitelinks,knowledge features",Low,"Products;Services;About;Contact",Architecture briefing,Verified brand
Branded,ClearGlass cybersecurity,"ClearGlass cyber security,ClearGlass cyber",Commercial,"CISO,IT leaders",Very High,Service page,/services/cybersecurity/,"Organic,AI answers,PAA",Low,"Home;BLUEDESK;Methodology",Cyber-risk assessment,Planned
Branded,ClearGlass AI,"ClearGlass AI automation,ClearGlass agents",Commercial,"CTO,CIO,operations",Very High,Service page,/services/ai-automation/,"Organic,AI answers,PAA",Low,"Home;AgentOps;Methodology",AI automation assessment,Planned
Branded,ClearGlass AgentOps,"ClearGlass agent ops,AgentOps ClearGlass",Commercial,"Enterprise AI teams",Very High,Product page,/products/agentops/,"Organic,sitelinks",Low,"AI automation;Governed AI pillar",Product briefing,Verified live name
Branded,ClearGlass BLUEDESK,"ClearGlass BlueDesk,BLUEDESK cyber",Commercial,"Security teams",Very High,Product page,/products/bluedesk/,"Organic,sitelinks",Low,"Cybersecurity;security automation pillar",Product briefing,Verified live name
Branded,CG-OS Artemis,"CG-OS,ClearGlass Artemis",Commercial,"Security,intelligence,architecture buyers",High,Product page,/CG-os.html,"Organic,sitelinks",Low,"Home;Methodology;Technical briefings",Product briefing,Verified OPAL
Branded,ClearGlass Revenue Engine,"Revenue Engine ClearGlass",Commercial,"Revenue,automation leaders",High,Product section or page,/products/agentops/,Organic,Low,"AgentOps;AI automation",Discuss workflow,Requires standalone-product confirmation
AI Automation,AI automation company,"enterprise AI automation,AI workflow automation company",Commercial,"COO,CTO,CIO",Very High,Service pillar,/services/ai-automation/,"AI Overview,PAA,organic",High,"AgentOps;Methodology;case briefings",Assessment,Planned
AI Automation,AI automation consulting,"AI automation consultant,AI workflow consulting",Commercial,"Operations and technology leaders",Very High,Service pillar,/services/ai-automation/,"AI Overview,PAA,organic",High,"Methodology;contact",Consultation,Planned
AI Automation,enterprise automation platform,"enterprise workflow automation,AI enterprise automation",Commercial,"Enterprise architecture teams",High,Pillar,/insights/enterprise-ai-automation/,"AI Overview,PAA,organic",High,"AI service;AgentOps",Architecture review,Planned
AI Agents,AI agent development company,"enterprise AI agent development,custom AI agents",Commercial,"CTO,CIO,product teams",Very High,Service/pillar,/services/ai-automation/,"AI Overview,PAA,organic",High,"AgentOps;governance pillar",Assessment,Planned
AI Agents,governed AI agents,"governed agents,controlled AI agents",Commercial Informational,"AI governance,CISO,CTO",Very High,Pillar,/insights/governed-ai-agents/,"AI Overview,PAA,organic",Medium,"AgentOps;Methodology",Governance assessment,Priority
AI Agents,AI agent governance,"agent governance framework,enterprise agent governance",Commercial Informational,"Risk,security,AI governance",Very High,Pillar,/insights/ai-agent-governance/,"AI Overview,PAA,organic",Medium,"Methodology;AgentOps",Governance assessment,Priority
AI Agents,human in the loop AI agents,"human approval AI agents,human-on-the-loop agents",Informational,"AI architects,risk teams",High,Article,/insights/human-in-the-loop-ai-agents/,"AI Overview,PAA,featured snippet",Medium,"Governance pillar;AgentOps",Newsletter or assessment,Planned
AI Agents,AI agent audit trail,"agent audit logs,AI auditability",Informational Commercial,"Security,compliance,platform teams",High,Article/tool,/insights/ai-agent-audit-trail/,"AI Overview,PAA,featured snippet",Medium,"Governance pillar;checklist",Checklist download,Priority
AI Agents,AI agent tool permissions,"least privilege AI agents,agent tool access",Informational,"Security engineers,AI platform teams",High,Technical article,/insights/ai-agent-tool-permissions/,"AI Overview,PAA",Medium,"Governance pillar;threat-model briefing",Assessment,Planned
Cybersecurity,cybersecurity automation,"security automation,automated cyber security",Commercial Informational,"CISO,SOC,IT",Very High,Pillar,/services/cybersecurity/,"AI Overview,PAA,organic",High,"BLUEDESK;methodology",Cyber-risk assessment,Priority
Cybersecurity,security operations automation,"SOC automation,automate security operations",Commercial Informational,"SOC managers,CISO",Very High,Pillar,/insights/security-operations-automation/,"AI Overview,PAA,organic",High,"Cyber service;BLUEDESK",Assessment,Planned
Cybersecurity,cyber risk visibility,"cyber risk dashboard,security risk visibility",Commercial,"Executives,CISO,risk leaders",High,Pillar,/insights/cyber-risk-visibility/,"AI Overview,PAA,organic",Medium,"Cyber service;technical briefing",Executive risk review,Planned
